10;Cisco 3750 -> DES3200;Управление оборудованием на Кантемировской 12 (Радуга)
11;К12->БМ18;Канал для КантриНЕТ (К12-БМ18)
12;Медиков 9;Управление оборудованием на Медиков 9 (Интерпрогрессбанк)
13;;
14;megafon_bgp;Мегафон Интернет
23;EXT_IP_Server;Внешний адрес сервера мониторинга
40;Тестирование Юр.Лиц;
41;;
42;;
43;;
44;;
45;Cisco 3400->3q;
46;Public_IP_test;внешний IP для микротика
91;Cat3750-RB1100;Микротик Управление
100;клиент Регион;
101;клиент Дорвей;
102;Мебель-сити;
103;ИП "Смертин";
104;ООО "ГРАН";
105;ООО "ЭФКЕЙ-рампс";
106;ООО "ПромСнаб";
107;Интехтранс;
108;Прима-Меландж;
109;Аспломб;
110;Аэрослава;
111;Ладогахим;
112;Электротехимпорт;
113;ООО "АНТЕЙ";
114;РусХимСеть;
115;;
116;НПО Ладога;
117;Завод комбикормов;
118;КОМУПАК (Лепсари);
119;МЕТАЛЛ ГРУПП СПБ;
120;Нано бетон;
130;Подсеть 194.190.13.160/28;Общая подсеть на 16 адресов в Колтушах
201;Вимос, Новотоксово;работает
202;Синдик-транспорт;работает
203;Вимос, Черемыкино;работает
204;Вимос, Мурино;работает
205;ТД "Виктория", Дони;работает
206;СК Янино, ФЕНИКС;работает
207;Вимос, Гатчина;работает
208;Дерби;работает
209;Вимос, Токсово;работает
210;ИП Автосервис;работает
211;Подсеть 194.190.13.176/28;Общая подсеть на 16 адресов от Гатчины
212;Подсеть 194.190.13.192/28;Общая подсеть на 16 адресов от Мурино
312;Медиков 9;Управление оборудованием на Медиков 9 (Интерпрогрессбанк)
315;baltiec;Балтиец, Приморское ш.427
380;ManagIPMUX;
381;ToAspectOffice;
382;Cat3750-Cisco3400;10.64.1.12/30
383;Cat3750-BRAS;10.64.1.8/30
384;Cat3750-Cisco3400(ospf zone);
385;Старт-Телеком;
386;3400-BRAS;
387;временно BGP1-BGP2;
413;Streltsovo_mgmt;WiFi сеть в Стрельцово
519;Сумма-Телеком ;ДСК Восковицы на Свеаборгскую 12
557;Сумма Телеком Добровольцев;Оборудование Добровольцев
580;Сумма Телеком для УФМС;От у.Брянцева на БМ18
623;Сумма-Телеком Добровольцев;Добровольцев физики
681;Телрос;БМ18-Свердлова
682;Телрос;БМ18-Свердлова
683;Телрос;БМ18-Свердлова
684;Телрос;БМ18-Проба
685;Телрос;БМ18-Вырица
686;Телрос;БМ18-Елизаветинка
687;Телрос;БМ-18 ЛАЭС
691;Северен-Телеком;БМ18-Свердлова
743;ТрансТелеком МСК;М9-Карповка 10, Карповка 5
744;ТрансТелеком МСК;М9-Карповка 10, Карповка 5
747;ТрансТелеком МСК;М9-Карповка 5
757;Megafon_priozersk;Приозерск, Куйбышевское лесничество, квартал 33
785;Westcal-Ulianovka; Вестколл Ульяновка магазин-полушка
814;Luga_TTK;Луга-ТТК Управление оборудованием  80.76.243.224/28
1002;в cisco — занято;
1003;в cisco — занято;
1004;в cisco — занято;
1005;в cisco — занято;
1010;link to 3q;
1011;vlan bridge nat;Влан для VIP клиентов
1033;IT-Region Гатчина;Гатчина, Рощинская 1А
1094;Fiziki_Murino;Физики в Мурино
1100;Management DerStaroe;
1101;Fiziki DerStaroe;DHCP для PPTP DerStaroe             10.129.6.1/23 на
1102;To DerStaroe;
1120;Vimplecom_Yanino;Янино ПС 374, ВымпелКом для Ленэнерго
1255;Vimplecom_Rybatskoe;Рыбацкое ПС 347, Вымпелком для Ленэнерго
1300;Priozersk_mgmt;Сеть управления Приозерск
1350;LinkToMoscow;BGP Link NEW
1400;Tikhvin_mgmt;Сеть управления Тихвин
1500;Lentel Device Management;БМ18-Рощино, Железнодорожная 49
1501;Lentel;БМ18-Рощино, Железнодорожная 49
1502;Lentel;БМ18-Рощино, Железнодорожная 49
1520;Lentel Device Management (RESERV);БМ18-Рощино, Железнодорожная 49
1613;WestCall (УФМС);БМ18-Всеволожск
1627;WestCall (УФМС);БМ18-Яхтенная 7к2
1628;WestCall (УФМС) инет;БМ18-Всеволожск инет физ.лицо
1632;equip_gatchina;Гатчина, Обоудование
1633;IT-Region;Кингисепп, Касколовка, Вимос
1634;WestCall (УФМС);БМ18 (транк) - Литейный-6 (аксцесс) серверная 3 эт. 
1660;WestCall (УФМС);БМ18 (транк) - Кирочная-4 (аксцесс)
2100;Мурино equip-mgmt;БМ18-КактусНет-Оборонная2к3
2101;Fiziki Gatchina;DHCP для PPTP DerStaroe             10.129.6.1/23 на
2118;К12-М143;SmartTelecom Московский143-К12
2407;LinkToMoscow;Management
2408;LinkToMoscow;BGP Link
2409;LinkToMoscow;free
2448;Comstar;Симагино, Динос Парк
2449;Comstar;Симагино, Динос Парк
2800;Ростелеком Ульяновка;Сбербанк, Ульяновка, Левая линия 47
2801;Ростелеком Александровка;Сбербанк, Александровка, Волхонское ш.33А
4065;InfoLAN;Ломоносов, Дворцовый д.30
